,From Bus,To Bus,Length [km],Branch type
0,38,37,0.0137403950656618,EX 3x95 Al
2,46,45,0.0318561817344337,EX 3x25 Al
3,27,26,0.0167935871382974,EX 3x25 Al
5,24,25,0.0475447914231209,EX 3x25 Al
6,1,2,0.0098320474208766,EX 3x95 Al
7,13,14,0.0529090324376758,EX 3x25 Al
8,14,15,0.0181402698151555,EX 3x25 Al
9,1,7,0.0311663455963135,EX 3x95 Al
10,22,23,0.2838445497841712,EX 3x95 Al
11,24,26,0.053556903560095,EX 3x95 Al
12,20,19,0.012648625056003,EX 3x25 Al
14,35,36,0.0127338486612762,EX 3x95 Al
15,21,1,0.0312258167266845,EX 3x95 Al
16,45,50,0.2760212209023583,EX 3x25 Al
17,38,39,0.016172551825169,EX 3x25 Al
18,31,22,0.0182025998595767,EX 3x25 Al
20,2,3,0.479966950415769,EX 3x95 Al
22,9,8,0.0528850115202827,EX 3x25 Al
24,8,12,0.0217816365191929,EX 3x25 Al
25,40,38,0.0100360930029588,EX 3x25 Al
26,4,5,0.119847457998447,EX 3x50 Al
27,34,35,0.6179518101598791,EX 3x95 Al
28,28,26,0.1025567471722337,EX 3x95 Al
29,21,22,0.22987460781855,EX 3x95 Al
30,24,23,0.1099200006002466,EX 3x95 Al
31,9,10,0.0347190953170758,EX 3x25 Al
32,33,32,0.0604496451278068,EX 3x95 Al
33,8,7,0.0528470106421685,EX 3x95 Al
34,13,19,0.0275619557990847,EX 3x25 Al
35,46,47,0.10021252970465,EX 3x25 Al
36,4,3,0.1005599098411916,EX 3x95 Al
37,47,48,0.0200363009851861,EX 3x25 Al
38,17,18,0.0247166544807415,EX 3x25 Al
39,29,28,0.0170805571084937,EX 3x25 Al
40,14,16,0.02737842118075,EX 3x25 Al
41,1,32,0.0196200018418363,EX 3x95 Al
42,44,45,0.365220530936333,EX 3x50 Al
43,30,23,0.0333852929856967,EX 3x50 Al
44,17,14,0.0278746348814723,EX 3x25 Al
45,41,38,0.0651632002103473,EX 3x95 Al
46,4,6,0.0055266314691236,EX 3x50 Al
48,9,11,0.0276244339714409,EX 3x50 Al
49,49,46,0.0336376498833301,EX 3x25 Al
50,41,42,0.0043822735090733,EX 3x25 Al
52,43,38,0.0248070249882877,EX 3x95 Al
53,1,34,0.0101402042522949,EX 3x95 Al
54,37,1,0.0203600884807809,EX 3x95 Al
55,1,44,0.0100131330162793,EX 3x95 Al
56,13,8,0.1325977144935954,EX 3x95 Al
