,bus_i,Consumer type
0,6,Private building
1,10,Private building
2,11,Private building
3,12,Private building
4,15,Private building
5,16,Private building
6,18,Private building
7,20,Private building
8,25,Private building
9,29,Private building
10,30,Private building
11,31,Private building
12,33,Private building
13,36,Private building
14,39,Private building
15,40,Private building
16,42,Private building
17,43,Private building
18,48,Private building
19,49,Private building
20,50,Private building
