,fbus,tbus,r,x,b,rateA,rateB,rateC,ratio,angle,status,angmin,angmax
0,38,37,0.0011168941168685,0.0007237473877308,0,87.64177086298518,0,0,0,0,1,0,0
2,46,45,0.0248586612853955,0.001692075399704,0,37.84531014537997,0,0,0,0,1,0,0
3,27,26,0.0131047122319266,0.0008920094663694,0,37.84531014537997,0,0,0,0,1,0,0
5,24,25,0.0371011151218607,0.0025253927988539,0,37.84531014537997,0,0,0,0,1,0,0
6,1,2,0.0020459579963896,0.0005242767365748,0,87.64177086298518,0,0,0,0,1,0,0
7,13,14,0.0412870483748063,0.0028103202372544,0,37.84531014537997,0,0,0,0,1,0,0
8,14,15,0.014155582948386,0.0009635399670337,0,37.84531014537997,0,0,0,0,1,0,0
9,1,7,0.0064854278322158,0.0016618908820053,0,87.64177086298518,0,0,0,0,1,0,0
10,22,23,0.0590654216261655,0.0139169621575752,0,87.64177086298518,0,0,0,0,1,0,0
11,24,26,0.0111446955461158,0.0026259070349932,0,87.64177086298518,0,0,0,0,1,0,0
12,20,19,0.0094589717810109,0.0006976855498249,0,37.84531014537997,0,0,0,0,1,0,0
14,35,36,0.0026497959558285,0.0006243434657245,0,87.64177086298518,0,0,0,0,1,0,0
15,21,1,0.0064978032235792,0.0016650620760421,0,87.64177086298518,0,0,0,0,1,0,0
16,45,50,0.2153904725680407,0.0146611644037778,0,37.84531014537997,0,0,0,0,1,0,0
17,38,39,0.0120942561475176,0.0008920618377299,0,37.84531014537997,0,0,0,0,1,0,0
18,31,22,0.0142042215917453,0.0009668506944683,0,37.84531014537997,0,0,0,0,1,0,0
20,2,3,0.0998766765628881,0.0235328875995756,0,87.64177086298518,0,0,0,0,1,0,0
22,9,8,0.0412683038857707,0.0028090443403582,0,37.84531014537997,0,0,0,0,1,0,0
23,8,12,0.0169970880059032,0.0011569550810159,0,,0,0,0,0,1,0,0
24,40,38,0.0075052521587344,0.0005535808859746,0,37.84531014537997,0,0,0,0,1,0,0
25,4,5,0.0499562244951551,0.0067023956858909,0,37.84531014537997,0,0,0,0,1,0,0
26,34,35,0.1285900477550084,0.0302983163275088,0,55.772036003717844,0,0,0,0,1,0,0
27,28,26,0.0213411091280141,0.0050283803951326,0,87.64177086298518,0,0,0,0,1,0,0
28,21,22,0.0478347766137353,0.0112708037566011,0,87.64177086298518,0,0,0,0,1,0,0
29,24,23,0.0228733339623348,0.0053894023678716,0,87.64177086298518,0,0,0,0,1,0,0
30,9,10,0.0270927080281453,0.0018441421378037,0,87.64177086298518,0,0,0,0,1,0,0
31,33,32,0.0049136762580258,0.0031840622152007,0,37.84531014537997,0,0,0,0,1,0,0
32,8,7,0.0109969734054629,0.0025911008254598,0,87.64177086298518,0,0,0,0,1,0,0
33,13,19,0.0215077038825372,0.001463982964567,0,87.64177086298518,0,0,0,0,1,0,0
34,46,47,0.0781998719510009,0.0053228964371477,0,37.84531014537997,0,0,0,0,1,0,0
35,4,3,0.020925585775649,0.00536218135501,0,37.84531014537997,0,0,0,0,1,0,0
36,47,48,0.0156351324133928,0.0010642497045229,0,87.64177086298518,0,0,0,0,1,0,0
37,17,18,0.0192874006987714,0.0013128517208526,0,37.84531014537997,0,0,0,0,1,0,0
38,29,28,0.0133286464544162,0.0009072521853829,0,37.84531014537997,0,0,0,0,1,0,0
39,14,16,0.0213644844298934,0.0014542343256602,0,37.84531014537997,0,0,0,0,1,0,0
40,1,32,0.0015948205655935,0.0010334437295464,0,37.84531014537997,0,0,0,0,1,0,0
41,44,45,0.1522355159803122,0.0186529632039918,0,87.64177086298518,0,0,0,0,1,0,0
42,30,23,0.0139160497776398,0.0018670520628183,0,55.772036003717844,0,0,0,0,1,0,0
43,17,14,0.0217516999604381,0.0014805912507615,0,55.772036003717844,0,0,0,0,1,0,0
44,41,38,0.0087291588274216,0.0034747137080027,0,37.84531014537997,0,0,0,0,1,0,0
45,4,6,0.0023036754136004,0.0003090734800286,0,87.64177086298518,0,0,0,0,1,0,0
47,9,11,0.01300572973004,0.0045390505490251,0,,0,0,0,0,1,0,0
48,49,46,0.0262488126121714,0.0017866999989492,0,55.772036003717844,0,0,0,0,1,0,0
49,41,42,0.0032771784502635,0.0002417218384704,0,37.84531014537997,0,0,0,0,1,0,0
51,43,38,0.0051621121185457,0.0013227912303773,0,,0,0,0,0,1,0,0
52,1,34,0.002110082578625,0.0005407086607726,0,87.64177086298518,0,0,0,0,1,0,0
53,37,1,0.001654978836812,0.0010724262894108,0,87.64177086298518,0,0,0,0,1,0,0
54,1,44,0.0020836402314405,0.0005339328093066,0,87.64177086298518,0,0,0,0,1,0,0
55,13,8,0.0275923561653213,0.0065012957838771,0,87.64177086298518,0,0,0,0,1,0,0
