bus_i,type,Pd,Qd,Gs,Bs,area,Vm,Va,basekV,zone,Vmax,Vmin
1,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.23,1.0,1.2,0.75
2,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.23,1.0,1.2,0.75
3,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.23,1.0,1.2,0.75
4,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.23,1.0,1.2,0.75
5,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.23,1.0,1.2,0.75
6,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.23,1.0,1.2,0.75
7,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.23,1.0,1.2,0.75
8,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.23,1.0,1.2,0.75
9,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.23,1.0,1.2,0.75
10,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.23,1.0,1.2,0.75
11,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.23,1.0,1.2,0.75
12,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.23,1.0,1.2,0.75
13,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.23,1.0,1.2,0.75
14,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.23,1.0,1.2,0.75
15,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.23,1.0,1.2,0.75
16,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.23,1.0,1.2,0.75
17,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.23,1.0,1.2,0.75
18,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.23,1.0,1.2,0.75
19,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.23,1.0,1.2,0.75
20,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.23,1.0,1.2,0.75
21,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.23,1.0,1.2,0.75
22,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.23,1.0,1.2,0.75
23,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.23,1.0,1.2,0.75
24,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.23,1.0,1.2,0.75
25,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.23,1.0,1.2,0.75
26,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.23,1.0,1.2,0.75
27,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.23,1.0,1.2,0.75
28,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.23,1.0,1.2,0.75
29,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.23,1.0,1.2,0.75
30,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.23,1.0,1.2,0.75
31,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.23,1.0,1.2,0.75
32,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.23,1.0,1.2,0.75
33,1.0,0.003,0.0,0.0,0.0,1.0,1.0,0.0,0.23,1.0,1.2,0.75
34,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.23,1.0,1.2,0.75
35,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.23,1.0,1.2,0.75
36,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.23,1.0,1.2,0.75
37,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.23,1.0,1.2,0.75
38,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.23,1.0,1.2,0.75
39,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.23,1.0,1.2,0.75
40,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.23,1.0,1.2,0.75
41,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.23,1.0,1.2,0.75
42,1.0,0.02,0.0,0.0,0.0,1.0,1.0,0.0,0.23,1.0,1.2,0.75
43,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.23,1.0,1.2,0.75
44,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.23,1.0,1.2,0.75
45,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.23,1.0,1.2,0.75
46,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.23,1.0,1.2,0.75
47,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.23,1.0,1.2,0.75
48,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.23,1.0,1.2,0.75
49,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.23,1.0,1.2,0.75
50,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.23,1.0,1.2,0.75
