case,load_scale,p_demand_mw,q_demand_mvar,status,objective_eur_h,q_slack_mvar,p_slack_mw,losses_mw,v_min,v_max,max_line_loading_pct,p_g1_mw,q_g1_mvar,lambda_q_g1,g1_field_binding,g1_stator_binding,loc_g1_eur_h,p_g2_mw,q_g2_mvar,lambda_q_g2,g2_field_binding,g2_stator_binding,loc_g2_eur_h,p_g3_mw,q_g3_mvar,lambda_q_g3,g3_field_binding,g3_stator_binding,loc_g3_eur_h,p_g4_mw,q_g4_mvar,lambda_q_g4,g4_field_binding,g4_stator_binding,loc_g4_eur_h
free,0.4,17.89686,4.415998031382977,optimal,1258.0128776105853,9.923849982285983e-06,14.671611858741645,0.07475183724973533,1.028028235361798,1.0500000104051468,39.70605772838875,1.1999999965808725,1.8594089124029394,-2.3588555056267465e-10,False,False,0.0,0.7499999971833303,0.1048203800036714,-4.028678849408854e-09,False,False,0.0,0.8999999926762142,2.8301009197485953,1.5765740859818758e-09,False,False,0.0,0.44999999206767066,-0.14870907590457721,-2.0539395044088568e-08,False,False,0.0
free,0.42820512820512824,19.158818076923076,4.727382507954854,optimal,1347.3157462153135,0.12813993100556573,15.941000630916635,0.0821825245927954,1.0277525887409324,1.050000010473809,41.16568359792254,1.1999999928942602,1.9612650851868625,-1.685853777649181e-10,False,False,0.0,0.7499999946155433,0.15349075059704634,-3.637252319721161e-09,False,False,0.0,0.8999999916884373,3.008855194787274,1.979796181055695e-09,False,False,0.0,0.4499999914009937,-0.19976853018200222,-3.66777004004461e-08,False,False,0.0
free,0.45641025641025645,20.420776153846155,5.038766984526731,optimal,1436.7147822166933,0.28606609688063095,17.210282444363582,0.08950627051378746,1.027468866637787,1.0500000104724532,42.34491264376054,1.199999997444591,2.0643014520795684,-1.021380384748976e-10,False,False,0.0,0.7499999992645997,0.20217783461890254,-3.301240978300532e-09,False,False,0.0,0.8999999917952398,3.0846997020524047,2.183298811211434e-09,False,False,0.0,0.4499999914919324,-0.171343521801769,-2.5575232326965623e-08,False,False,0.0
free,0.48461538461538467,21.68273423076923,5.350151461098608,optimal,1526.1881279688623,0.4502087379600857,18.48031343835186,0.09758269111781104,1.0271770088915047,1.050000010470926,43.54829804822773,1.2000001418152928,2.193927193740627,-1.9782603008985423e-11,False,False,0.0,0.7500033582056,0.22548982539203516,-3.1563491349279184e-09,False,False,0.0,0.8999999919178033,3.1614845616517964,2.4160095483736807e-09,False,False,0.0,0.44999999159648585,-0.1429135621017663,-1.954386655090175e-08,False,False,0.0
free,0.5128205128205129,22.94469230769231,5.661535937670485,optimal,1615.7182901460556,0.6818123587799194,19.604763535862176,0.1031186765629819,1.0265687022025527,1.0500000104691931,44.77518234472121,1.2606949742212188,2.2525982128423516,2.9119683896528323e-11,False,False,0.0,0.8323524903940485,0.24196460115219495,-2.8152440574913206e-09,False,False,0.0,0.8999999920598925,3.239214842706086,2.6860176740909884e-09,False,False,0.0,0.44999999171795685,-0.11447864884473496,-1.5748538397279217e-08,False,False,0.0
free,0.5410256410256411,24.20665038461539,5.972920414242361,optimal,1705.2849746414793,0.9225922694920942,20.719010743240204,0.10872044469536846,1.0259329981233496,1.0500000104672105,46.024963193619705,1.3682140414240587,2.3058675827084425,8.263387482424742e-11,False,False,0.0,0.8781460605591062,0.25866142635202327,-2.6149964589359952e-09,False,False,0.0,0.8999999922265745,3.317895727657081,3.0047109810435974e-09,False,False,0.0,0.4499999918608154,-0.08603878052960055,-1.3135423727175814e-08,False,False,0.0
free,0.5692307692307692,25.468608461538455,6.284304890814237,optimal,1794.888204668305,1.1682039059089964,21.833342427527523,0.1146042060981074,1.0252916639816394,1.0500000104649205,47.297089657120125,1.4759455764643297,2.359494821893927,1.3521176960017038e-10,False,False,0.0,0.923924679188623,0.27533705176284584,-2.435124381235133e-09,False,False,0.0,0.899999992424836,3.397532511410291,3.3886775041043812e-09,False,False,0.0,0.4499999920312567,-0.057593953491720334,-1.122291856216168e-08,False,False,0.0
free,0.5974358974358975,26.73056653846154,6.5956893673861146,optimal,1884.5283495429283,1.4186623701565213,22.94776140283834,0.12077448630368437,1.0246446685273278,1.0500000104622462,48.59105862486327,1.5838452534881062,2.413415559104774,1.8712357690348641e-10,False,False,0.0,0.969734383536066,0.29205711676605495,-2.2721512793894085e-09,False,False,0.0,0.8999999926645872,3.4781306078610155,3.863090377979721e-09,False,False,0.0,0.4499999922381242,-0.029144166304371465,-9.759663467473167e-09,False,False,0.0
free,0.6256410256410256,27.992524615384614,6.907073843957989,optimal,1974.2057855799105,1.6739831428927834,24.062270530462172,0.12723589200925645,1.023991979881067,1.0500000104591598,49.906411417595194,1.6919603078368073,2.467696096249463,2.387196843085651e-10,False,False,0.0,1.0155296836400276,0.3087567077124799,-2.1239415839585585e-09,False,False,0.0,0.8999999929603694,3.5596955491726123,4.468143476332704e-09,False,False,0.0,0.4499999924944945,-0.0006894168885216937,-8.601633396590623e-09,False,False,0.0
free,0.6538461538461539,29.254482692307693,7.218458320529867,optimal,2063.92089621926,1.9341820857351737,25.17687272854467,0.13399311277435544,1.0233335655410292,1.0500000104579286,51.24273058514888,1.8002792255935856,2.5223188379154475,2.9027907846094805e-10,False,False,0.0,1.0613238647888226,0.3254547813414044,-1.988336588170414e-09,False,False,0.0,0.8999999933344182,3.6422329888154015,5.272313615873842e-09,False,False,0.0,0.4499999928205539,0.027770296693240683,-7.660367098363898e-09,False,False,0.0
free,0.6820512820512821,30.51644076923077,7.529842797101743,optimal,2153.674072172324,2.1992754387526783,26.29157098008226,0.141050923229745,1.0226693923831873,1.0500000104842608,52.59963698336971,1.9087949014274561,2.5772724799464335,1.2408388619283938e-10,False,False,0.0,1.107125828385315,0.34216404340749984,-6.759831094521897e-10,False,False,0.0,0.8999999913867355,3.7257486910963116,2.322776323461549e-09,False,False,0.0,0.4499999911787406,0.056234995950970534,-2.495388542082109e-09,False,False,0.0
