case,load_scale,p_demand_mw,q_demand_mvar,status,objective_eur_h,q_slack_mvar,p_slack_mw,losses_mw,v_min,v_max,max_line_loading_pct,p_g1_mw,q_g1_mvar,lambda_q_g1,g1_field_binding,g1_stator_binding,loc_g1_eur_h,p_g2_mw,q_g2_mvar,lambda_q_g2,g2_field_binding,g2_stator_binding,loc_g2_eur_h,p_g3_mw,q_g3_mvar,lambda_q_g3,g3_field_binding,g3_stator_binding,loc_g3_eur_h,p_g4_mw,q_g4_mvar,lambda_q_g4,g4_field_binding,g4_stator_binding,loc_g4_eur_h,energy_price
free,1.0,44.742149999999995,11.039995078457444,optimal,1162.506573490273,11.468176922558284,28.065431561381814,0.5864994983688234,1.0041548407821423,1.0500000104923066,100.00000049733893,6.454374324530507,2.88604666639725,2.9363954036130047e-09,False,False,0.0,3.1588435361040266,-1.4726933153683595,-6.5045664149806935e-09,False,False,0.0,5.1000000509279655,2.01450912744501,4.209645831594651e-09,False,False,0.0,2.550000025424509,-1.5130811654891059,-0.6918390633045116,False,False,0.0,40.0
assumed,1.0,44.742149999999995,11.039995078457444,optimal,1170.438292178926,12.002010852098831,28.07794861355735,0.5647044546639108,1.0027466307437636,1.0500000104847773,100.00000049898463,6.800000063007803,1.3101244630482602,3.9998834847599545,False,False,0.0,2.796170594033794,0.015280831376186934,3.3470066578661513,False,False,0.0,5.100000049206082,0.04929266645814793,3.9201442163355815,False,False,0.0,2.5327351348588754,0.010956934529731182,2.954500143888492,False,False,0.0,40.0
deadband,1.0,44.742149999999995,11.039995078457444,optimal,1163.1189789322207,11.706417764938003,28.059739212740446,0.568913802707236,1.0037757481676928,1.0500000104922989,100.00000049733846,6.799997438212258,1.6821642847053127,0.0007806298894735871,False,False,0.0,2.80132707540284,-0.28626076373332876,-0.0003255890400354959,False,False,0.0,5.100000050927792,1.0290463868909001,0.0003984191583588467,False,False,0.0,2.550000025423896,-0.7583482401842646,-0.8998856772033081,False,False,0.0,40.0
physical,1.0,44.742149999999995,11.039995078457444,optimal,1162.9401686266187,11.468176923299959,28.06543156136815,0.5746061170589343,1.0041548407820342,1.0500000104919236,100.00000049734021,6.799999982571467,1.682160261057153,0.09294655839576324,False,False,0.0,2.8013244967666826,-0.28625679014463484,0.052567971210252584,False,False,0.0,5.100000050928119,2.0145091252666134,0.11788614903861604,False,False,0.0,2.5500000254245085,-1.5130811640048814,-0.5374829514824769,False,False,0.0,40.0
free,1.0,44.742149999999995,11.039995078457444,optimal,2004.4695203241617,11.468176923454413,28.065431561229204,0.58649949586394,1.0041548407824479,1.0500000104939073,100.00000049850809,6.45437443206144,2.886046521981511,2.9363957696391738e-09,False,False,0.0,3.158843426154996,-1.4726931744729448,-6.504565647877725e-09,False,False,0.0,5.10000005095988,2.0145091235739656,4.2096458084223875e-09,False,False,0.0,2.550000025458416,-1.5130811625630651,-0.38151768741429204,False,False,0.0,70.0
assumed,1.0,44.742149999999995,11.039995078457444,optimal,2016.9536044595577,12.005451349697205,28.078227491805468,0.5646692893113112,1.0027410253340285,1.05000001048143,100.00000049944279,6.800000062358535,1.2987822193634053,6.999792520923774,False,False,0.0,2.795974488687495,0.024506413358404876,6.48117569581463,False,False,0.0,5.100000049255282,0.04385098715513201,6.82478906634826,False,False,0.0,2.532617197204526,0.015262765887468535,5.855182741170694,False,False,0.0,70.0
deadband,1.0,44.742149999999995,11.039995078457444,optimal,2004.9176376108844,11.708296858581503,28.05971088463599,0.5688854600460473,1.0037669941547396,1.050000010493899,100.00000049850787,6.799998516448341,1.6821625380690557,0.0013660859659354945,False,False,0.0,2.8013259825436556,-0.286259038493171,-0.0005697769085974842,False,False,0.0,5.100000050959787,1.0212474265336307,0.0006760245657920393,False,False,0.0,2.550000025458265,-0.7523532489305828,-0.7600802861913478,False,False,0.0,70.0
physical,1.0,44.742149999999995,11.039995078457444,optimal,2005.2283118076273,11.468176948335163,28.065431560422713,0.5746061157784226,1.0041548407823266,1.0500000104934786,100.00000049850894,6.800000019183685,1.6821602090109358,0.16265647404063277,False,False,0.0,2.8013244597536433,-0.2862567387184098,0.09199395466689468,False,False,0.0,5.100000050959964,2.0145090212211505,0.20630075172526866,False,False,0.0,2.550000025458416,-1.5130810844865594,-0.11139453798295854,False,False,0.0,70.0
free,1.0,44.742149999999995,11.039995078457444,optimal,2846.432467158045,11.468176932502342,28.065431560884562,0.586499497883537,1.004154840782687,1.0500000104949565,100.00000049896359,6.454374331354214,2.886046655786921,2.9363954358738596e-09,False,False,0.0,3.1588435292012513,-1.472693304896478,-6.5045663531139e-09,False,False,0.0,5.100000050972198,2.014509086062307,4.209645582314304e-09,False,False,0.0,2.550000025471305,-1.513081133941858,-0.07119633143377839,False,False,0.0,100.0
assumed,1.0,44.742149999999995,11.039995078457444,optimal,2863.4638845213067,12.008644592429508,28.078481448847228,0.5646349768768815,1.0027376059682767,1.050000010476561,100.00000049961584,6.8000000615920975,1.2862978463834867,9.999697819774758,False,False,0.0,2.7957581937967912,0.03466218322143501,9.608140437093937,False,False,0.0,5.100000049311838,0.040531265316017126,9.708864636198312,False,False,0.0,2.5325452233289236,0.01788966514964003,8.728845874335727,False,False,0.0,100.0
